,A,,B,,C,,D
339.8457223,116.1141518,339.8457223,122.203981,339.8457223,360.74512,339.8457223,404.4655075
340.2143192,124.7095014,340.2143192,134.8535551,340.2143192,374.33307,340.2143192,418.2884654
340.5828844,123.2836389,340.5828844,135.5747206,340.5828844,371.73149,340.5828844,412.360291
340.9514178,114.4499453,340.9514178,134.8498779,340.9514178,364.33075,340.9514178,405.911149
341.3199195,117.790154,341.3199195,130.0811752,341.3199195,366.2368,341.3199195,406.1519364
341.6883894,123.0432832,341.6883894,137.4805944,341.6883894,378.38754,341.6883894,412.3542728
342.0568275,126.6254117,342.0568275,145.1168226,342.0568275,385.29962,342.0568275,423.0700974
342.4252337,127.5747328,342.4252337,141.0574403,342.4252337,385.76131,342.4252337,424.719231
342.7936081,128.9996895,342.7936081,129.6038704,342.7936081,381.22375,342.7936081,426.1263082
343.1619507,138.5465047,343.1619507,132.7114537,343.1619507,390.52174,343.1619507,435.4224915
343.5302614,141.8918906,343.5302614,143.2115019,343.5302614,391.25347,343.5302614,438.5336751
343.8985402,145.7119227,343.8985402,150.8471261,343.8985402,391.50281,343.8985402,441.161997
344.2667871,125.6666512,344.2667871,140.5804897,344.2667871,381.47929,344.2667871,437.7969628
344.6350021,130.2024843,344.6350021,146.3084575,344.6350021,390.29337,344.6350021,437.5730147
345.0031851,124.2395753,345.0031851,146.7853953,345.0031851,387.67664,345.0031851,427.3484135
345.3713362,121.6224273,345.3713362,162.0550018,345.3713362,390.5522,345.3713362,432.6028672
345.7394553,112.3134937,345.7394553,161.093638,345.7394553,382.20788,345.7394553,436.149567
346.1075424,114.2196429,346.1075424,160.6135844,346.1075424,377.91818,346.1075424,431.3855807
346.4755975,113.749054,346.4755975,171.8290026,346.4755975,376.9877,346.4755975,430.458516
346.8436206,114.7055719,346.8436206,167.540714,346.8436206,379.85015,346.8436206,430.7046915
347.2116116,112.320197,347.2116116,170.8791372,347.2116116,383.18192,347.2116116,428.803315
347.5795706,107.302912,347.5795706,162.7614593,347.5795706,389.81761,347.5795706,417.1227752
347.9474975,109.9216328,347.9474975,161.3228854,347.9474975,397.64805,347.9474975,415.675642
348.3153923,123.5249219,348.3153923,170.1537462,348.3153923,397.90818,348.3153923,414.0341209
348.6832549,121.6145709,348.6832549,171.5812401,348.6832549,397.66354,348.6832549,414.0270699
349.0510855,125.6678989,349.0510855,169.1950649,349.0510855,401.70221,349.0510855,420.442966
349.4188839,127.334013,349.4188839,161.5613061,349.4188839,397.64805,349.4188839,419.7183266
349.7866501,134.9685294,349.7866501,164.1871459,349.7866501,405.7426,349.7866501,415.4459127
350.1543842,135.444501,350.1543842,158.225322,350.1543842,406.45314,350.1543842,411.6378003
350.5220861,131.3829636,350.5220861,148.679494,350.5220861,409.28522,350.5220861,406.1460112
350.8897557,135.2019904,350.8897557,156.5516362,350.8897557,401.92245,350.8897557,406.8693696
351.2573931,130.9059936,351.2573931,156.0709153,351.2573931,398.58297,351.2573931,401.8651122
351.6249983,135.6799601,351.6249983,156.7912288,351.6249983,396.93062,351.6249983,408.5371224
