,A,,B,,C,,D
364.4707263,265.2592638,364.4707263,875.53981,364.4707263,241.5051359,364.4707263,898.1222007
364.8371589,249.2959509,364.8371589,866.28624,364.8371589,236.9733101,364.8371589,887.4498554
365.2035587,249.5133103,365.2035587,853.66924,365.2035587,227.663645,365.2035587,876.2540266
365.5699255,251.9023001,365.5699255,865.05767,365.5699255,239.5806405,365.5699255,871.3075301
365.9362594,251.425359,365.9362594,871.21079,365.9362594,235.5307273,365.9362594,880.5375359
366.3025603,254.7689482,366.3025603,877.86998,366.3025603,233.3955017,366.3025603,889.3267616
366.6688283,259.7823506,366.6688283,879.32962,366.6688283,237.9325799,366.6688283,891.9702422
367.0350634,257.6401385,367.0350634,875.07252,367.0350634,237.9337499,367.0350634,893.6313444
367.4012654,233.7963431,367.4012654,861.49226,367.4012654,234.0980642,367.4012654,891.886402
367.7674344,241.9031661,367.7674344,872.64758,367.7674344,237.6791783,367.7674344,906.3527374
368.1335704,244.060038,368.1335704,885.23937,368.1335704,231.9747606,368.1335704,917.2857236
368.4996733,241.203409,368.4996733,894.71384,368.4996733,234.1205018,368.4996733,909.719267
368.8657432,245.4765496,368.8657432,892.29653,368.8657432,228.3895059,368.8657432,906.1182079
369.23178,244.0564403,369.23178,912.20858,369.23178,234.3535385,369.23178,906.3867866
369.5977837,233.5547004,369.5977837,913.31469,369.5977837,220.5164497,369.5977837,912.2261842
369.9637543,241.4244141,369.9637543,925.89008,369.9637543,224.0986449,369.9637543,917.2297667
370.3296918,241.4143396,370.3296918,918.99151,370.3296918,225.9950285,370.3296918,913.1705699
370.6955961,246.6517138,370.6955961,924.66151,370.6955961,223.8488611,370.6955961,912.9253779
371.0614672,248.097122,371.0614672,926.84956,371.0614672,231.2487079,371.0614672,913.4564763
371.4273052,261.9367136,371.4273052,927.41197,371.4273052,238.1807513,371.4273052,926.0868222
371.79311,264.5727534,371.79311,924.86329,371.79311,247.0098141,371.79311,926.6144931
372.1588815,275.7791765,372.1588815,933.6607,372.1588815,263.6958827,372.1588815,926.8925267
372.5246198,283.1764114,372.5246198,934.65339,372.5246198,267.7588115,372.5246198,935.2213527
372.8903249,290.0939934,372.8903249,933.03194,372.8903249,266.1019494,372.8903249,933.1266026
373.2559966,295.8238463,373.2559966,930.23574,373.2559966,269.6882062,373.2559966,949.9729895
373.6216351,301.311344,373.6216351,925.76927,373.6216351,273.5088536,373.6216351,947.8744634
373.9872403,293.4416699,373.9872403,920.76597,373.9872403,274.4515284,373.9872403,942.8714599
374.3528122,288.4312191,374.3528122,913.16333,374.3528122,271.5844717,374.3528122,942.842629
374.7183508,282.468895,374.7183508,903.1955,374.7183508,261.5721281,374.7183508,940.2129782
375.0838559,290.1011245,375.0838559,916.48585,375.0838559,263.249958,375.0838559,951.8436819
375.4493278,292.9689752,375.4493278,938.29137,375.4493278,263.4972618,375.4493278,957.7906949
375.8147662,278.1696147,375.8147662,936.05568,375.8147662,250.1262809,375.8147662,948.9283124
376.1801712,265.5150091,376.1801712,922.46207,376.1801712,231.7536406,376.1801712,937.9377421
376.5455428,266.4650379,376.5455428,927.18622,376.5455428,234.3719852,376.5455428,948.3393577
376.9108809,267.1834462,376.9108809,938.79395,376.9108809,241.9988014,376.9108809,953.5575996
377.2761856,264.5487132,377.2761856,937.32369,377.2761856,245.081761,377.2761856,956.5815555
377.6414568,261.7017609,377.6414568,936.65123,377.6414568,255.3344885,377.6414568,959.931592
378.0066945,262.1768111,378.0066945,936.1736,378.0066945,257.9532207,378.0066945,967.2602799
378.3718987,276.495007,378.3718987,954.96083,378.3718987,270.8425731,378.3718987,982.9701428
378.7370694,280.7948589,378.7370694,971.56456,378.7370694,285.1451181,378.7370694,993.1848284
379.1022065,269.1006039,379.1022065,962.49326,379.1022065,277.499553,379.1022065,981.9849047
379.4673101,267.8808264,379.4673101,951.7489,379.4673101,266.7536089,379.4673101,965.8002934
379.8323801,272.1900226,379.8323801,962.94383,379.8323801,277.2546002,379.8323801,975.1025482
380.1974165,280.5436023,380.1974165,964.18768,380.1974165,277.0348293,380.1974165,974.4545686
380.5624192,284.3504023,380.5624192,968.67116,380.5624192,266.7903006,380.5624192,958.3565161
380.9273884,284.8336672,380.9273884,976.97345,380.9273884,270.8459022,380.9273884,956.2496606
381.2923239,288.892613,381.2923239,974.16907,381.2923239,272.5231578,381.2923239,948.2385107
381.6572257,294.3646032,381.6572257,972.02402,381.6572257,262.0382274,381.6572257,941.8340533
382.0220939,293.6624952,382.0220939,967.80436,382.0220939,261.8109827,382.0220939,940.4518328
382.3869283,286.5055613,382.3869283,957.11713,382.3869283,265.1341252,382.3869283,929.9996286
382.751729,281.2559706,382.751729,941.46738,382.751729,263.2188597,382.751729,921.2104471
383.116496,286.5027464,383.116496,957.58133,383.116496,273.9441363,383.116496,925.2576732
383.4812293,288.6651136,383.4812293,963.08389,383.4812293,279.2022324,383.4812293,929.3399352
383.8459287,293.4344562,383.8459287,966.41661,383.8459287,284.2099904,383.8459287,923.2058786
384.2105944,296.7662012,384.2105944,956.9457,384.2105944,293.4957967,384.2105944,933.1397762
384.5752263,296.7647429,384.5752263,952.6821,384.5752263,292.0655096,384.5752263,937.3952631
384.9398243,281.7419477,384.9398243,929.90278,384.9398243,284.1869367,384.9398243,937.0969099
